ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0010876	lipid localization	69/1612	483/18860	0.14285714285714285	1.6713931230060262	4.569678259341041	1.5697258462414732e-5	5.808348711780636e-4	4.721370470430454e-4	LPL/CD36/FABP4/FZD4/ACACB/PLTP/CAV1/SLC2A1/PNPLA2/ADIPOQ/RBP4/EEPD1/LYPLA1/PPARG/CIDEC/LRP1/LEP/C1QTNF1/CIDEA/ABCD2/ABCA9/RBP7/CES1/NKX3-1/ACSL1/ABCA6/SERINC2/STARD10/KCNJ8/PRKN/SYT7/BMP6/ECRG4/IL6/ABCA8/PLA2G4F/APOB/SPX/PLSCR4/ABCA10/APOLD1/SLC5A8/SOAT2/PTGS2/PLPPR4/NTSR1/PLA2G2A/ABCB1/ANO9/C3/SLC25A10/STARD3/NMB/ABCC4/MIR27B/AKR1C1/INHBA/EGF/CFTR/MYB/CYP19A1/DISP3/SLC22A11/SERPINA5/SPP1/SLCO1C1/ABCB11/TTPA/TNF	69
GO:0043410	positive regulation of MAPK cascade	68/1612	474/18860	0.14345991561181434	1.6784454146642793	4.573334124437184	1.5709267678507515e-5	5.808348711780636e-4	4.721370470430454e-4	BMPER/CD36/GHR/AKAP12/ADRA2A/LEP/KLB/FGF7/DDR2/MTURN/MYOC/FGFR3/ADRA1A/C1QTNF1/GPBAR1/ERBB2/ADRB2/IGF1/FERMT2/CAV2/KIT/TPBG/TENM1/EZH2/CCL21/IL6/JUN/LPAR1/FGF2/FLT4/CX3CL1/RIPK2/IGFBP6/IQGAP3/NTRK2/BMP2/SH3RF3/MST1R/DKK1/PLA2G2A/CLEC7A/SPRY2/ANGPT1/INAVA/AVPI1/IGF2/NEK10/MIR27B/GDF15/EPGN/S100A7/INHBA/RET/EGF/KSR2/KL/SOX2/MAPK8IP2/SEMA3A/PDGFD/OR2AT4/NPNT/MIR126/NGF/ALKAL2/NTRK3/ELANE/TNF	68
GO:0007127	meiosis I	27/1612	132/18860	0.20454545454545456	2.3931310624859012	4.910273900706846	1.6187432662348805e-5	5.933306171380094e-4	4.822943307924921e-4	TOP6BL/TOP2A/IHO1/FMN2/ZWINT/ESPL1/AURKA/NDC80/MCMDC2/KNL1/TRIP13/BRIP1/CKS2/PTTG1/PLK1/HSPA2/RAD51AP1/RAD54B/SPATA22/HFM1/SYCP2/CENPS/RAD54L/MYBL1/HORMAD1/MAEL/MND1	27
GO:0044839	cell cycle G2/M phase transition	31/1612	162/18860	0.19135802469135801	2.238841405508072	4.84114531646726	1.6255633346246832e-5	5.933306171380094e-4	4.822943307924921e-4	FHL1/CDK1/CDC6/PKMYT1/AURKA/AURKB/NDC80/BIRC5/FOXM1/DBX2/TICRR/KIF14/CENPF/CLSPN/DTL/CDC20/CCNB1/CDC25C/CCND1/NES/CCNA2/ABCB1/PLK1/HSPA2/CHEK1/NEK10/ORC1/BLM/CDC25A/GPR132/MELK	31
GO:0014706	striated muscle tissue development	63/1612	430/18860	0.14651162790697675	1.714149691268971	4.57966056515383	1.656276586168964e-5	6.006903746271389e-4	4.882767783697577e-4	MYH11/CAV1/ABCC9/RBP4/TWIST1/ADAMTS9/PI16/ADRA1A/MAFF/ALDH1A2/DMD/IGF1/S1PR1/CDK1/CACNA1G/CAV2/MYOM1/MEOX2/KCNJ8/AKAP6/TGFBR3/ALPK3/PGM5/DSP/FGF2/MSX1/CENPF/FOXP2/ELN/S100B/CCNB1/SIX4/JPH2/COL14A1/HOXD9/EGR1/BMP2/DKK1/GPC1/PIM1/PROX1/PPIF/SGCZ/IGF2/EPHB1/EGR2/NEURL1/HLF/FOS/SMYD1/MYOCD/ACTC1/SCN5A/MYOM2/COL11A1/GATA4/MYOZ2/NPHS1/CYP26B1/FER1L6/PITX1/SGCG/SCX	63
GO:0000022	mitotic spindle elongation	7/1612	12/18860	0.5833333333333334	6.824855252274608	6.170432436112668	1.7727483896276474e-5	6.348446119836367e-4	5.160393690296437e-4	CDCA8/RACGAP1/KIF23/AURKB/BIRC5/INCENP/KIF4A	7
GO:0090232	positive regulation of spindle checkpoint	7/1612	12/18860	0.5833333333333334	6.824855252274608	6.170432436112668	1.7727483896276474e-5	6.348446119836367e-4	5.160393690296437e-4	CDCA8/AURKB/NDC80/BIRC5/KNL1/INCENP/MAD2L1	7
GO:0003012	muscle system process	69/1612	485/18860	0.1422680412371134	1.6645007802307434	4.532368033873611	1.80078756892516e-5	6.40209960917744e-4	5.20400642995456e-4	KCNIP2/DES/MYH11/ACACB/CAV1/ABCC9/GSN/PPARG/LMOD1/ANK2/ADRA2A/CNN1/LEP/MYOC/PI16/ADRA1A/SCN4B/MYL9/TPM2/SCN4A/BIN1/KLF4/ADRB2/DMD/ADGRD1/IGF1/ATP1A2/CACNA1G/EDNRB/KIT/KCNJ8/AKAP6/CASQ2/EZH2/NMUR1/DSP/TNNT3/SPX/KCNA1/SCN11A/KLF15/CACNA1D/CA3/JPH2/JPH4/STC1/COL14A1/RYR3/ADCY10/NR4A3/CHRNE/JPH1/P2RX1/OXTR/KCNJ3/MYOCD/SCN3B/CRYAB/KCNE1/NPNT/ACTC1/NMU/SCN5A/MYOM2/GATA4/MYOZ2/MB/TNF/GLRA1	69
GO:1905954	positive regulation of lipid localization	23/1612	104/18860	0.22115384615384615	2.587445123115098	4.96269695292102	1.810217838211394e-5	6.40209960917744e-4	5.20400642995456e-4	LPL/CD36/ACACB/PLTP/CAV1/ADIPOQ/EEPD1/PPARG/LRP1/C1QTNF1/CES1/NKX3-1/ACSL1/BMP6/ECRG4/ABCA8/APOB/NTSR1/C3/NMB/MYB/CYP19A1/SPP1	23
GO:0071320	cellular response to cAMP	16/1612	58/18860	0.27586206896551724	3.2275177547702576	5.19404399827852	1.890391360324303e-5	6.64437555906579e-4	5.400942697430775e-4	GPD1/AQP1/ADIPOQ/PDE2A/RAPGEF3/EZR/AKAP6/SRD5A1/STC1/PENK/CRHBP/INHBB/CFTR/KCNE1/HCN2/SCX	16
